epoch,accuracy,loss,val_accuracy,val_loss
1,0.5458333492279053,1.4030685424804688,0.8525000214576721,0.5619180798530579
2,0.7802963256835938,0.7230437397956848,0.9056666493415833,0.32984933257102966
3,0.8316296339035034,0.5588783621788025,0.9236666560173035,0.2667142450809479
4,0.852648138999939,0.48384889960289,0.9279999732971191,0.23592506349086761
5,0.8689073920249939,0.4294893443584442,0.9491666555404663,0.18555420637130737
6,0.8791481256484985,0.39691489934921265,0.9483333230018616,0.17108960449695587
7,0.8881111145019531,0.36861154437065125,0.953166663646698,0.16104504466056824
8,0.8943333625793457,0.3479330837726593,0.9555000066757202,0.15303801000118256
9,0.9004629850387573,0.3285059332847595,0.9558333158493042,0.14761266112327576
10,0.9037407636642456,0.3154841363430023,0.9568333625793457,0.1426883488893509
11,0.9091110825538635,0.29900944232940674,0.9621666669845581,0.13214361667633057
12,0.91181480884552,0.2879544198513031,0.9613333344459534,0.1274825483560562
13,0.9153703451156616,0.27828148007392883,0.9618333578109741,0.12415938079357147
14,0.9173703789710999,0.2734390199184418,0.9635000228881836,0.11473128199577332
15,0.9197037220001221,0.2619486153125763,0.9621666669845581,0.11842053383588791
