epoch,accuracy,loss,val_accuracy,val_loss
1,0.44575926661491394,1.6935566663742065,0.8338333368301392,0.8442646265029907
2,0.6693333387374878,1.1174938678741455,0.8708333373069763,0.5657613277435303
3,0.7461110949516296,0.8635449409484863,0.887499988079071,0.439790278673172
4,0.779962956905365,0.7429112195968628,0.9075000286102295,0.35871806740760803
5,0.8062037229537964,0.6623703241348267,0.9178333282470703,0.3074830174446106
6,0.8170185089111328,0.6239941120147705,0.9225000143051147,0.2849538028240204
7,0.8277222514152527,0.5814442038536072,0.925000011920929,0.26752200722694397
8,0.8360185027122498,0.5507359504699707,0.9263333082199097,0.2586425542831421
9,0.8448333144187927,0.5282362699508667,0.9286666512489319,0.2501346170902252
10,0.8507592678070068,0.5087863206863403,0.9356666803359985,0.22505460679531097
11,0.8543703556060791,0.49351391196250916,0.937166690826416,0.21589823067188263
12,0.8565000295639038,0.47946664690971375,0.9428333044052124,0.2036566436290741
13,0.8604815006256104,0.46933239698410034,0.9396666884422302,0.20791497826576233
14,0.864481508731842,0.4579755365848541,0.949833333492279,0.18706350028514862
15,0.8661666512489319,0.44869327545166016,0.9403333067893982,0.2014428675174713
