epoch,accuracy,loss,val_accuracy,val_loss
1,0.5830925703048706,1.237945318222046,0.9411666393280029,0.1944335401058197
2,0.8189073801040649,0.5699941515922546,0.9558333158493042,0.14672085642814636
3,0.8630926012992859,0.4409477114677429,0.9649999737739563,0.11546958237886429
4,0.8886851668357849,0.36443325877189636,0.9703333377838135,0.10063934326171875
5,0.8999074101448059,0.32386404275894165,0.972000002861023,0.08809435367584229
6,0.9092037081718445,0.29005077481269836,0.9751666784286499,0.08534397184848785
7,0.9169999957084656,0.27160388231277466,0.972000002861023,0.08907084912061691
8,0.9226666688919067,0.25269025564193726,0.9779999852180481,0.07714597135782242
9,0.9271666407585144,0.23953689634799957,0.9766666889190674,0.07793205976486206
10,0.9308703541755676,0.2278781682252884,0.9773333072662354,0.07407534867525101
11,0.935870349407196,0.2114344835281372,0.9785000085830688,0.07724606990814209
12,0.9389444589614868,0.2005474716424942,0.9798333048820496,0.07479139417409897
13,0.9407407641410828,0.1972266584634781,0.9796666502952576,0.07235623896121979
14,0.9430925846099854,0.18926268815994263,0.981333315372467,0.0690092146396637
15,0.9427222013473511,0.1862533986568451,0.9823333621025085,0.06495822966098785
